playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8471469,2008,Pekka Rinne,NSH,G,5on5,52,142070.0,86.35,82.0,2030.0,70.27,69.0,259.43,339.0,1111.83,1139.0,35.7,47.0,618.36,464.0,484.27,561.0,83.85,1232.0,256.0,66.0,36.53,30.64,19.18,34.0,32.0,16.0,476.0,6.0,3.0
8471469,2008,Pekka Rinne,NSH,G,4on5,52,15761.0,15.54,16.0,302.0,14.24,11.0,33.86,40.0,160.75,154.0,1.07,2.0,100.1,70.0,55.72,84.0,15.03,162.0,48.0,15.0,3.88,5.91,5.75,3.0,4.0,9.0,77.0,0.0,0.0
8471469,2008,Pekka Rinne,NSH,G,5on4,52,16279.0,3.74,5.0,50.0,1.68,4.0,4.26,4.0,33.64,39.0,5.72,7.0,9.89,8.0,25.51,25.0,3.64,30.0,9.0,7.0,0.75,1.16,1.83,0.0,2.0,3.0,4.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,other,52,4985.0,10.55,17.0,179.0,5.91,6.0,18.96,16.0,90.43,99.0,2.78,6.0,47.76,49.0,38.54,45.0,10.23,98.0,24.0,12.0,3.57,2.75,4.22,8.0,2.0,7.0,45.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,all,52,177444.0,145.33,163.0,2940.0,104.26,81.0,338.42,307.0,1533.72,1496.0,51.18,56.0,842.76,748.0,653.57,788.0,139.07,1594.0,416.0,137.0,46.97,50.35,48.0,56.0,49.0,58.0,793.0,2.0,1.0
8462117,2008,Vesa Toskala,TOR,G,5on5,52,137610.0,93.79,101.0,2176.0,73.18,57.0,261.03,222.0,1134.3,1086.0,38.47,44.0,621.87,549.0,491.52,609.0,90.52,1193.0,315.0,72.0,35.41,38.12,20.25,43.0,39.0,19.0,596.0,0.0,0.0
8462117,2008,Vesa Toskala,TOR,G,4on5,52,16757.0,36.41,39.0,507.0,23.0,14.0,51.9,64.0,260.9,257.0,0.77,1.0,158.83,133.0,82.42,99.0,33.87,248.0,68.0,47.0,6.49,8.25,21.68,4.0,5.0,30.0,144.0,2.0,1.0
8462117,2008,Vesa Toskala,TOR,G,5on4,52,18092.0,4.16,6.0,71.0,1.95,4.0,5.49,4.0,43.62,49.0,9.03,5.0,12.34,14.0,38.84,33.0,4.05,50.0,8.0,6.0,1.25,1.07,1.85,1.0,3.0,2.0,7.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,other,2,268.0,0.57,1.0,6.0,0.27,1.0,0.75,1.0,3.24,4.0,0.26,0.0,1.27,0.0,1.02,1.0,0.53,1.0,2.0,1.0,0.05,0.22,0.3,0.0,0.0,1.0,2.0,0.0,0.0
8473632,2008,Josh Tordjman,ARI,G,all,2,7062.0,4.87,8.0,109.0,3.57,4.0,12.45,10.0,54.58,62.0,2.33,3.0,29.37,22.0,23.98,29.0,4.79,59.0,12.0,5.0,1.97,1.58,1.33,3.0,3.0,2.0,33.0,0.0,0.0
